Virus name,Accession ID,Collection date
hCoV-19/USA/WI-UW-3684/2021,EPI_ISL_1182677,2021-02-19
hCoV-19/USA/WI-UW-3685/2021,EPI_ISL_1182678,2021-02-19
hCoV-19/USA/WI-UW-3686/2021,EPI_ISL_1182679,2021-02-20
hCoV-19/USA/WI-UW-3687/2021,EPI_ISL_1182680,2021-02-20
hCoV-19/USA/WI-UW-3688/2021,EPI_ISL_1182681,2021-02-23
hCoV-19/USA/WI-UW-3689/2021,EPI_ISL_1182682,2021-02-23
hCoV-19/USA/WI-UW-3690/2021,EPI_ISL_1182683,2021-02-20
hCoV-19/USA/WI-UW-3691/2021,EPI_ISL_1182684,2021-02-23
hCoV-19/USA/WI-UW-3692/2021,EPI_ISL_1182685,2021-02-20
hCoV-19/USA/WI-UW-3693/2021,EPI_ISL_1182686,2021-02-22
hCoV-19/USA/WI-UW-3694/2021,EPI_ISL_1182687,2021-02-19
hCoV-19/USA/WI-UW-3695/2021,EPI_ISL_1182688,2021-02-19
hCoV-19/USA/WI-UW-3696/2021,EPI_ISL_1182689,2021-02-20
hCoV-19/USA/WI-UW-3697/2021,EPI_ISL_1182690,2021-02-22
hCoV-19/USA/WI-UW-3698/2021,EPI_ISL_1182691,2021-02-22
hCoV-19/USA/WI-WSLH-211554/2021,EPI_ISL_1295370,2021-02-22
hCoV-19/USA/WI-WSLH-211555/2021,EPI_ISL_1295371,2021-02-18
hCoV-19/USA/WI-WSLH-211556/2021,EPI_ISL_1295372,2021-02-23
hCoV-19/USA/WI-WSLH-211557/2021,EPI_ISL_1295373,2021-02-24
hCoV-19/USA/WI-WSLH-211558/2021,EPI_ISL_1295374,2021-02-22
hCoV-19/USA/WI-WSLH-211559/2021,EPI_ISL_1295375,2021-02-22
hCoV-19/USA/WI-WSLH-211560/2021,EPI_ISL_1295376,2021-02-22
hCoV-19/USA/WI-WSLH-211561/2021,EPI_ISL_1295377,2021-02-22
hCoV-19/USA/WI-WSLH-211562/2021,EPI_ISL_1295378,2021-02-22
hCoV-19/USA/WI-WSLH-211563/2021,EPI_ISL_1295379,2021-02-22
hCoV-19/USA/WI-WSLH-211564/2021,EPI_ISL_1295380,2021-02-18
hCoV-19/USA/WI-WSLH-211565/2021,EPI_ISL_1295381,2021-02-21
hCoV-19/USA/WI-WSLH-211566/2021,EPI_ISL_1295382,2021-02-22
hCoV-19/USA/WI-WSLH-211567/2021,EPI_ISL_1295383,2021-02-21
hCoV-19/USA/WI-WSLH-211568/2021,EPI_ISL_1295384,2021-02-24
hCoV-19/USA/WI-WSLH-211569/2021,EPI_ISL_1295385,2021-02-24
hCoV-19/USA/WI-WSLH-211570/2021,EPI_ISL_1295386,2021-02-24
hCoV-19/USA/WI-WSLH-211571/2021,EPI_ISL_1295387,2021-02-24
hCoV-19/USA/WI-WSLH-211572/2021,EPI_ISL_1295388,2021-02-24
hCoV-19/USA/WI-WSLH-211573/2021,EPI_ISL_1295389,2021-02-24
hCoV-19/USA/WI-WSLH-211574/2021,EPI_ISL_1295390,2021-02-24
hCoV-19/USA/WI-WSLH-211575/2021,EPI_ISL_1295391,2021-02-24
hCoV-19/USA/WI-WSLH-211576/2021,EPI_ISL_1295392,2021-02-24
hCoV-19/USA/WI-WSLH-211577/2021,EPI_ISL_1295393,2021-02-24
hCoV-19/USA/WI-WSLH-211578/2021,EPI_ISL_1295394,2021-02-24
